Product Name,Brand,Rating,Reviews,Price,Primary Category,Secondary Category
Fragrance Discovery Set,19-69,3.6364,11,35,Fragrance,Value & Gift Sets
La Habana Eau de Parfum,19-69,4.1538,13,195,Fragrance,Women
Rainbow Bar Eau de Parfum,19-69,4.25,16,195,Fragrance,Women
Kasbah Eau de Parfum,19-69,4.4762,21,195,Fragrance,Women
Purple Haze Eau de Parfum,19-69,3.2308,13,195,Fragrance,Women
Kasbah Eau de Parfum Travel Spray,19-69,4.4762,21,30,Fragrance,Women
Purple Haze Eau de Parfum Travel Spray,19-69,3.2308,13,30,Fragrance,Women
Invisible Post Eau de Parfum,19-69,3.625,8,195,Fragrance,Women
Capri Eau de Parfum,19-69,3.5714,7,195,Fragrance,Women
Invisible Post Eau de Parfum Travel Spray,19-69,3.625,8,30,Fragrance,Women
Rainbow Bar Eau de Parfum Travel Spray,19-69,4.25,16,30,Fragrance,Women
Capri Eau de Parfum Travel Spray,19-69,3.5714,7,30,Fragrance,Women
L'air Barbes Eau de Parfum,19-69,3,4,195,Fragrance,Women
L'air Barbes Eau de Parfum Travel Spray,19-69,3,4,30,Fragrance,Women
AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,4.3256,258,38,Bath & Body,Body Moisturizers
African Beauty Butter Mini Gift Set,54 Thrones,3.561,41,29,Bath & Body,Value & Gift Sets
African Beauty Butter Collection Deluxe Tin,54 Thrones,4.2273,22,80,Bath & Body,Value & Gift Sets
Mini AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,4.5175,143,12,Bath & Body,Body Moisturizers
ABBOTT Sampler Set,ABBOTT,4.8163,49,26,Fragrance,Value & Gift Sets
The Cape Perfume,ABBOTT,4.6111,18,84,Fragrance,Women
Crescent Beach Perfume Travel Spray,ABBOTT,4.7778,9,29,Fragrance,Women
Crescent Beach Perfume,ABBOTT,4.5882,17,84,Fragrance,Women
Seqouia Eau de Parfum Travel Spray,ABBOTT,4.1667,6,29,Fragrance,Women
Sequoia Perfume,ABBOTT,4.619,21,84,Fragrance,Women
Mojave Perfume Travel Spray,ABBOTT,4.7143,7,29,Fragrance,Women
The Cape Perfume Travel Spray,ABBOTT,3.8333,6,29,Fragrance,Women
Big Sky Eau de Parfum Travel Spray,ABBOTT,4.25,4,28,Fragrance,Women
Big Sky Eau de Parfum,ABBOTT,4.625,8,84,Fragrance,Women
Montecito Perfume Travel Spray,ABBOTT,3.7143,7,29,Fragrance,Women
Montecito Perfume,ABBOTT,4.1111,9,84,Fragrance,Women
Mojave Perfume,ABBOTT,4.0909,11,84,Fragrance,Women
Blu Mediterraneo Mini Eau de Toilette Set,Acqua di Parma,3.3333,12,77,Mini Size,Fragrance
Mirto di Panarea,Acqua di Parma,4.4359,39,84,Fragrance,Women
Arancia di Capri,Acqua di Parma,3.9459,37,84,Fragrance,Women
Colonia,Acqua di Parma,4.2125,80,181,Fragrance,Men
Magnolia Nobile,Acqua di Parma,4.2791,43,210,Fragrance,Women
Yuzu Eau de Parfum,Acqua di Parma,4.6667,6,135,Fragrance,Women
Oud Eau de Parfum,Acqua di Parma,4.2632,19,295,Fragrance,Men
Colonia Essenza,Acqua di Parma,4.5333,15,130,Fragrance,Men
Buongiorno Diffuser,Acqua di Parma,4.625,8,112,Fragrance,Candles & Home Scents
Colonia Alcohol-Free Deodorant,Acqua di Parma,3.2,10,55,Bath & Body,Body Care
Colonia Pura,Acqua di Parma,4.5714,7,130,Fragrance,Women
Arancia di Capri Candle,Acqua di Parma,,,82,Fragrance,Candles & Home Scents
Fico di Amalfi Candle,Acqua di Parma,4,2,82,Fragrance,Candles & Home Scents
Aperitivo In Terrazza Diffuser,Acqua di Parma,5,1,112,Fragrance,Candles & Home Scents
Luce di Colonia Diffuser,Acqua di Parma,2.6667,3,112,Fragrance,Candles & Home Scents
Baomint Deep Conditioning Treatment,adwoa beauty,4.5273,311,39,Hair,Hair Styling & Treatments
Blue Tansy Reparative Mask,adwoa beauty,4.7581,492,40,Hair,Hair Styling & Treatments
Baomint Leave In Conditioning Styler,adwoa beauty,4.3472,144,26,Hair,Hair Styling & Treatments
Blue Tansy Leave in Conditioning Styler,adwoa beauty,4.5762,210,26,Hair,Hair Styling & Treatments
Baomint Moisturizing Shampoo,adwoa beauty,4.1324,136,24,Hair,Shampoo & Conditioner
Blue Tansy Clarifying Gel Shampoo,adwoa beauty,4.3109,193,25,Hair,Shampoo & Conditioner
Melonberry Hair Milk Leave-In Conditioner,adwoa beauty,4.3826,1265,24,Hair,Hair Styling & Treatments
Baomint Protect + Shine Oil Blend,adwoa beauty,4.5359,237,24,Hair,Hair Styling & Treatments
Baomint Moisturizing Curl Defining Cream,adwoa beauty,4.5635,252,32,Hair,Hair Styling & Treatments
Blue Tansy Treatment Serum,adwoa beauty,4.6465,215,36,Hair,Hair Styling & Treatments
Baomint Moisturizing Curl Defining Gel,adwoa beauty,4.4188,234,32,Hair,Hair Styling & Treatments
Blue Tansy Reparative Conditioner,adwoa beauty,4.3495,186,25,Hair,Shampoo & Conditioner
Mini Baomint Deep Conditioning Treatment,adwoa beauty,4.2,5,15,Hair,Mini Size
Mini Baomint Deluxe Travel Kit,adwoa beauty,4.7283,173,56,Hair,Value & Gift Sets
Mini Baomint Moisturizing Curl Defining Gel,adwoa beauty,,,14,Hair,Mini Size
Mini Baomint Moisturizing Curl Defining Cream,adwoa beauty,,,14,Hair,Mini Size
Mini Baomint Leave-In Conditioning Styler,adwoa beauty,,,13,Hair,Mini Size
Mini Baomint Moisturizing Shampoo,adwoa beauty,,,12,Hair,Mini Size
Mini Baomint Protect + Shine Oil Blend,adwoa beauty,,,11,Hair,Mini Size
Rose Lip Conditioner,AERIN,4.26,527,35,Makeup,Lip
Mediterranean Honeysuckle,AERIN,4.2158,139,145,Fragrance,Women
Mediterranean Honeysuckle Eau de Parfum Travel Spray,AERIN,4.2,50,35,Fragrance,Women
Amber Musk,AERIN,4.3833,120,145,Fragrance,Women
Amber Musk Eau de Parfum Travel Spray,AERIN,4.1875,48,35,Mini Size,Fragrance
Hibiscus Palm Eau de Parfum,AERIN,4.3333,60,145,Fragrance,Women
Ikat Jasmine,AERIN,4.3385,65,200,Fragrance,Women
Lilac Path,AERIN,4.2875,80,145,Fragrance,Women
Waterlily Sun,AERIN,4.3529,51,145,Fragrance,Women
Rose De Grasse,AERIN,4.5278,36,260,Fragrance,Women
Ikat Jasmine Travel Spray,AERIN,4,13,35,Fragrance,Women
Wild Geranium Travel Spray,AERIN,4.3333,21,35,Fragrance,Women
Tangier Vanille,AERIN,3.6923,39,145,Fragrance,Women
Hibiscus Palm Eau de Parfum Travel Spray,AERIN,4.0714,14,35,Fragrance,Women
Mediterranean Honeysuckle Mimosa Eau de Parfum,AERIN,3.2,10,135,Fragrance,Women
Wild Geranium,AERIN,4.6667,24,145,Fragrance,Women
Mini Aegea Blossom Eau de Parfum Travel Spray,AERIN,3.7059,17,35,Fragrance,Women
Aegea Blossom Eau de Parfum,AERIN,4.3529,17,145,Fragrance,Women
Cedar Violet Eau de Parfum Travel Spray,AERIN,3.3571,14,35,Fragrance,Women
Perfume Sampler Discovery Set,AERIN,,,25,Fragrance,Value & Gift Sets
Cedar Violet Eau de Parfum,AERIN,3.3571,14,145,Fragrance,Women
Mediterranean Honeysuckle Clementina,AERIN,3.5,4,145,Fragrance,Women
Rose De Grasse Pour Filles Eau de Parfum,AERIN,2,1,100,Fragrance,Women
Mediterranean Honeysuckle Mimosa Eau de Parfum Travel Spray,AERIN,,,30,Fragrance,Women
GENIUS Sleeping Collagen Moisturizer,Algenist,4.5413,1321,98,Skincare,Moisturizers
GENIUS Liquid Collagen Serum,Algenist,4.0259,1159,115,Skincare,Treatments
Triple Algae Eye Renewal Balm Eye Cream,Algenist,4.5306,1142,68,Skincare,Eye Care
GENIUS Liquid Collagen Lip Treatment,Algenist,3.8721,649,29,Skincare,Lip Balms & Treatments
SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,Algenist,4.4134,508,28,Skincare,Sunscreen
GENIUS Ultimate Anti-Aging Cream,Algenist,4.2525,503,112,Skincare,Moisturizers
GENIUS Ultimate Anti-Aging Melting Cleanser,Algenist,4.0569,334,38,Skincare,Cleansers
Gentle Rejuvenating Cleanser,Algenist,4.2689,264,28,Skincare,Cleansers
10 Day Results Kit,Algenist,4.8023,258,88,Skincare,Value & Gift Sets
Advanced Anti-Aging Repairing Oil,Algenist,4.4531,245,82,Skincare,Moisturizers
Overnight Restorative Cream,Algenist,4.3808,239,94,Skincare,Moisturizers
GENIUS Ultimate Anti-Aging Vitamin C+ Serum,Algenist,3.9825,229,118,Skincare,Treatments
Regenerative Anti-Aging Moisturizer,Algenist,4.2715,221,94,Skincare,Moisturizers
Blue Algae Vitamin C Skinclarity Brightening Serum,Algenist,4.6087,207,72,Skincare,Treatments
POWER Recharging Night Pressed Serum,Algenist,4.3854,205,95,Skincare,Treatments
Algae Niacinamide Moisture Veil,Algenist,4.6982,169,65,Skincare,Moisturizers
GENIUS Liquid Skin Resurfacing 2% BHA Toner,Algenist,4.7939,165,40,Skincare,Cleansers
GENIUS Collagen Calming Relief,Algenist,4.464,125,58,Skincare,Moisturizers
ALIVE Prebiotic Balancing Mask,Algenist,4.3729,118,38,Skincare,Masks
GENIUS Ultimate Anti-Aging Eye Cream,Algenist,3.7759,116,74,Skincare,Eye Care
Blue Algae Vitamin C Dark Spot Correcting Peel,Algenist,4.213,108,85,Skincare,Treatments
AA (Alguronic Acid) Barrier Serum,Algenist,3.97,100,85,Skincare,Treatments
POWER Advanced Wrinkle Fighter 360° Eye Serum,Algenist,4.023,87,70,Skincare,Eye Care
POWER Advanced Wrinkle Fighter Moisturizer,Algenist,4.1818,77,85,Skincare,Moisturizers
GENIUS Liquid Collagen Hand Cream,Algenist,4.175,40,38,Bath & Body,Body Moisturizers
ELEVATE Advanced Retinol Serum,Algenist,4.1026,39,98,Skincare,Treatments
ELEVATE Advanced Lift Contouring Cream,Algenist,4.3243,37,96,Skincare,Moisturizers
Mini GENIUS Liquid Collagen,Algenist,3.4412,34,25,Skincare,Mini Size
ELEVATE Firming & Lifting Contouring Eye Cream,Algenist,3.2581,31,72,Skincare,Eye Care
ALIVE Prebiotic Balancing Moisturizer SPF 15,Algenist,3.2,30,40,Skincare,Moisturizers
ELEVATE Firming & Lifting Neck Cream,Algenist,3.8889,18,84,Skincare,Moisturizers
Plump Pout Duo,Algenist,3,1,44,Skincare,Value & Gift Sets
Algae Peptide Regenerative Moisturizer,Algenist,,,98,Skincare,Moisturizers
Liquid Gold Exfoliating Treatment with Glycolic acid,Alpha-H,4.5093,915,56,Skincare,Treatments
Vitamin A Serum with 0.5% Retinol,Alpha-H,4.3579,95,65,Skincare,Treatments
Vitamin B Serum with 5% Niacinamide and Peptides,Alpha-H,4.2619,84,65,Skincare,Treatments
Balancing Cleanser,Alpha-H,4.5455,77,38,Skincare,Cleansers
Mini Liquid Gold Exfoliating Treatment with Glycolic Acid,Alpha-H,4,34,22,Skincare,Mini Size
Liquid Gold Firming Eye Cream,Alpha-H,3.8824,17,82,Skincare,Eye Care
